# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
ip-10-8-14-181;2;2012-03-08 22:13:09 UTC;xvdap1;1.60;0.00;34.04;21.33;0.04;26.33;26.33;4.20
ip-10-8-14-181;2;2012-03-08 22:13:09 UTC;xvdb;1489.36;95319.15;0.00;64.00;1.92;1.29;0.36;53.09
ip-10-8-14-181;2;2012-03-08 22:13:09 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:09 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:09 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:10 UTC;xvdap1;1.60;0.00;34.22;21.33;0.04;26.67;26.67;4.28
ip-10-8-14-181;2;2012-03-08 22:13:10 UTC;xvdb;1629.95;104316.58;0.00;64.00;1.91;1.17;0.33;53.37
ip-10-8-14-181;2;2012-03-08 22:13:10 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:10 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:10 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:11 UTC;xvdap1;1.61;0.00;34.41;21.33;0.04;26.67;26.67;4.30
ip-10-8-14-181;2;2012-03-08 22:13:11 UTC;xvdb;1725.81;110451.61;0.00;64.00;1.91;1.10;0.31;53.71
ip-10-8-14-181;2;2012-03-08 22:13:11 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:11 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:11 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:12 UTC;xvdap1;1.61;0.00;34.41;21.33;0.04;26.33;26.33;4.25
ip-10-8-14-181;2;2012-03-08 22:13:12 UTC;xvdb;1783.87;114167.74;0.00;64.00;1.92;1.08;0.30;53.71
ip-10-8-14-181;2;2012-03-08 22:13:12 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:12 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:12 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:13 UTC;xvdap1;1.61;0.00;30.11;18.67;0.04;26.33;26.33;4.25
ip-10-8-14-181;2;2012-03-08 22:13:13 UTC;xvdb;1750.54;112034.41;0.00;64.00;1.92;1.10;0.31;53.71
ip-10-8-14-181;2;2012-03-08 22:13:13 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:13 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:13 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:14 UTC;xvdap1;1.60;0.00;34.22;21.33;0.04;26.33;26.33;4.22
ip-10-8-14-181;2;2012-03-08 22:13:14 UTC;xvdb;1666.31;106643.85;0.00;64.00;1.91;1.15;0.32;53.42
ip-10-8-14-181;2;2012-03-08 22:13:14 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:14 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:14 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:15 UTC;xvdap1;1.60;0.00;34.22;21.33;0.04;26.33;26.33;4.22
ip-10-8-14-181;2;2012-03-08 22:13:15 UTC;xvdb;1576.47;100894.12;0.00;64.00;1.94;1.23;0.34;53.42
ip-10-8-14-181;2;2012-03-08 22:13:15 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:15 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:15 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:16 UTC;xvdap1;1.60;0.00;34.04;21.33;0.04;26.33;26.33;4.20
ip-10-8-14-181;2;2012-03-08 22:13:16 UTC;xvdb;1490.43;95387.23;0.00;64.00;1.92;1.29;0.36;53.19
ip-10-8-14-181;2;2012-03-08 22:13:16 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:16 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:16 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:17 UTC;xvdap1;1.61;0.00;34.41;21.33;0.04;26.33;26.33;4.25
ip-10-8-14-181;2;2012-03-08 22:13:17 UTC;xvdb;1661.29;106322.58;0.00;64.00;1.90;1.14;0.32;53.71
ip-10-8-14-181;2;2012-03-08 22:13:17 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:17 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:17 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:18 UTC;xvdap1;1.60;0.00;29.95;18.67;0.04;26.33;26.33;4.22
ip-10-8-14-181;2;2012-03-08 22:13:18 UTC;xvdb;1672.73;107054.55;0.00;64.00;1.91;1.14;0.32;53.48
ip-10-8-14-181;2;2012-03-08 22:13:18 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:18 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:18 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:19 UTC;xvdap1;2.14;0.00;42.78;20.00;0.04;20.50;20.50;4.39
ip-10-8-14-181;2;2012-03-08 22:13:19 UTC;xvdb;1537.97;98429.95;0.00;64.00;1.93;1.26;0.35;53.37
ip-10-8-14-181;2;2012-03-08 22:13:19 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:19 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:19 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:20 UTC;xvdap1;1.60;0.00;42.55;26.67;0.05;32.00;32.00;5.11
ip-10-8-14-181;2;2012-03-08 22:13:20 UTC;xvdb;1476.06;94480.85;0.00;64.01;1.93;1.31;0.36;53.14
ip-10-8-14-181;2;2012-03-08 22:13:20 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:20 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:20 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;1;2012-03-08 22:13:21 UTC;xvdap1;2.75;0.00;58.72;21.33;0.07;26.33;26.33;7.25
ip-10-8-14-181;1;2012-03-08 22:13:21 UTC;xvdb;2890.83;184990.83;0.00;63.99;3.28;1.14;0.32;91.74
ip-10-8-14-181;1;2012-03-08 22:13:21 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;1;2012-03-08 22:13:21 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;1;2012-03-08 22:13:21 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:22 UTC;xvdap1;1.57;0.00;33.51;21.33;0.04;26.33;26.33;4.14
ip-10-8-14-181;2;2012-03-08 22:13:22 UTC;xvdb;1679.58;107493.19;0.00;64.00;1.87;1.11;0.31;52.36
ip-10-8-14-181;2;2012-03-08 22:13:22 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:22 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:22 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:23 UTC;xvdap1;1.64;0.00;30.60;18.67;0.04;26.33;26.33;4.32
ip-10-8-14-181;2;2012-03-08 22:13:23 UTC;xvdb;1813.11;116039.34;0.00;64.00;1.94;1.07;0.30;54.64
ip-10-8-14-181;2;2012-03-08 22:13:23 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:23 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:23 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:24 UTC;xvdap1;1.57;0.00;33.51;21.33;0.04;26.33;26.33;4.14
ip-10-8-14-181;2;2012-03-08 22:13:24 UTC;xvdb;1675.92;107292.15;0.00;64.02;1.88;1.12;0.31;52.36
ip-10-8-14-181;2;2012-03-08 22:13:24 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:24 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:24 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:25 UTC;xvdap1;1.46;0.00;31.07;21.33;0.04;26.33;26.33;3.83
ip-10-8-14-181;2;2012-03-08 22:13:25 UTC;xvdb;1501.46;96062.14;0.00;63.98;1.75;1.17;0.32;48.54
ip-10-8-14-181;2;2012-03-08 22:13:25 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:25 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:25 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:26 UTC;xvdap1;1.79;0.00;38.10;21.33;0.05;26.00;26.00;4.64
