# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
ip-10-8-14-181;2;2012-03-08 00:43:10 UTC;xvdd;51.52;420.20;1228.28;32.00;0.15;3.13;2.31;11.92
ip-10-8-14-181;2;2012-03-08 00:43:10 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:11 UTC;xvdap1;1.53;0.00;32.65;21.33;0.03;17.67;17.67;2.70
ip-10-8-14-181;2;2012-03-08 00:43:11 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:11 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:11 UTC;xvdd;51.02;408.16;1224.49;32.00;0.17;3.26;2.49;12.70
ip-10-8-14-181;2;2012-03-08 00:43:11 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:12 UTC;xvdap1;1.52;0.00;32.32;21.33;0.03;20.67;20.67;3.13
ip-10-8-14-181;2;2012-03-08 00:43:12 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:12 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:12 UTC;xvdd;50.51;404.04;1212.12;32.00;0.14;2.76;2.21;11.16
ip-10-8-14-181;2;2012-03-08 00:43:12 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:13 UTC;xvdap1;1.52;0.00;32.49;21.33;0.03;18.33;18.33;2.79
ip-10-8-14-181;2;2012-03-08 00:43:13 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:13 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:13 UTC;xvdd;50.76;406.09;1218.27;32.00;0.14;2.68;2.07;10.51
ip-10-8-14-181;2;2012-03-08 00:43:13 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:14 UTC;xvdap1;1.52;0.00;32.32;21.33;0.02;12.67;12.67;1.92
ip-10-8-14-181;2;2012-03-08 00:43:14 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:14 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:14 UTC;xvdd;51.52;404.04;1224.24;31.61;0.16;3.18;2.44;12.58
ip-10-8-14-181;2;2012-03-08 00:43:14 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:15 UTC;xvdap1;1.52;0.00;28.28;18.67;0.03;21.33;21.33;3.23
ip-10-8-14-181;2;2012-03-08 00:43:15 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:15 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:15 UTC;xvdd;50.51;404.04;1212.12;32.00;0.14;2.72;2.21;11.16
ip-10-8-14-181;2;2012-03-08 00:43:15 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
